OBJECTID,NEIGHBORHOOD,Total,White_alone_NH0L,Black_or_African_American_alone_NH0L,American_Indian_and_Alaska_Native_alone_NH0L,Asian_alone_NH0L,Native_Hawaiian_and_Other_Pacific_Islander_alone_NH0L,Some_Other_Race_alone_NH0L,Two_or_More_Races_NH0L,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Two_or_More_Races
76,ALAMEDA,5214,4617,112,9,125,10,15,152,105,4,7,2,0,19,37
6,ARBOR LODGE,6153,4702,299,44,306,67,33,278,177,6,15,2,0,153,71
60,ARDENWALD-JOHNSON CREEK,4748,4105,87,35,83,10,9,148,139,2,16,0,2,68,44
71,ARGAY TERRACE,6006,3201,751,57,616,109,15,221,299,29,21,2,3,634,48
56,ARLINGTON HEIGHTS,718,628,7,1,31,0,1,27,19,2,0,0,0,2,0
51,ARNOLD CREEK,3125,2753,24,16,143,1,5,97,50,0,0,1,0,12,23
58,ASHCREEK,5719,4721,192,17,220,17,13,201,172,0,12,2,0,118,34
74,BEAUMONT-WILSHIRE,5346,4649,182,7,163,1,9,176,88,2,3,1,0,38,27
79,BOISE,3311,2010,775,29,70,6,12,160,103,19,16,3,0,73,35
43,BRENTWOOD-DARLINGTON,12994,8673,458,108,1344,35,18,553,682,11,60,7,2,892,151
97,BRIDGETON,725,592,51,5,24,3,0,22,15,2,0,1,0,6,4
81,BRIDLEMILE,5481,4756,65,25,198,10,2,159,197,4,14,1,2,31,17
34,BROOKLYN ACTION CORPS,3485,2905,64,25,103,7,13,124,137,11,7,3,0,48,38
27,BUCKMAN COMMUNITY ASSOCIATION,8472,7151,199,81,220,8,27,297,296,18,14,4,1,94,62
1,CATHEDRAL PARK,3349,2656,172,31,69,27,2,125,138,4,5,0,0,95,25
65,CENTENNIAL COMMUNITY ASSOCIATION,23662,15296,1173,207,2046,152,42,862,1416,62,77,15,9,1957,348
48,COLLINS VIEW,3036,2536,43,6,162,2,18,123,97,1,10,1,0,22,15
8,CONCORDIA,9550,6614,1502,61,268,41,24,408,265,25,23,3,4,217,95
35,CRESTON-KENILWORTH,8227,6042,418,64,671,35,10,329,316,26,18,3,0,223,72
59,CRESTWOOD,1047,907,12,2,38,5,0,28,28,0,1,0,0,14,12
5,CULLY ASSOCIATION OF NEIGHBORS,13209,6814,2050,147,758,53,31,539,822,52,134,14,3,1598,194
98,EAST COLUMBIA,1748,933,251,10,207,17,3,71,74,7,0,4,0,153,18
62,EASTMORELAND,5007,4392,45,4,209,4,5,142,144,2,2,3,1,24,30
80,ELIOT,3611,2355,720,30,72,7,13,162,123,15,5,1,0,78,30
52,FAR SOUTHWEST,1320,1099,25,8,64,1,0,42,59,0,5,2,0,7,8
89,FOREST PARK,4129,3438,27,18,340,5,7,134,108,0,1,4,2,37,8
37,FOSTER-POWELL,7335,5021,230,70,956,114,8,285,249,22,20,6,3,276,75
26,GLENFAIR,3417,1518,327,58,159,28,13,136,419,36,25,1,0,618,79
84,GOOSE HOLLOW FOOTHILLS LEAGUE,6507,5256,129,33,423,9,22,262,237,4,11,8,2,77,34
86,GRANT PARK,3937,3477,48,8,106,1,6,144,110,3,4,0,0,16,14
96,HAYDEN ISLAND NEIGHBORHOOD NETWORK,2270,1940,49,18,43,7,1,55,64,2,2,0,0,82,7
40,HAYHURST,5382,4678,78,12,199,3,11,172,128,3,9,2,0,58,29
68,HAZELWOOD,23462,14794,1651,205,2207,199,22,846,1312,89,100,8,2,1740,287
82,HEALY HEIGHTS,187,163,1,0,8,0,0,10,5,0,0,0,0,0,0
36,HILLSDALE,7540,6525,97,29,283,11,4,260,227,3,3,10,0,55,33
90,HILLSIDE,2200,2002,10,3,94,3,4,43,30,1,2,2,0,3,3
75,HOLLYWOOD,1578,1300,65,10,68,2,7,51,51,4,3,1,2,8,6
32,HOMESTEAD,2009,1509,24,8,313,12,3,64,49,1,3,0,0,13,10
87,HOSFORD-ABERNETHY NEIGHBORHOOD DISTRICT ASSN.,7336,6323,67,38,376,5,19,233,161,3,17,4,0,49,41
11,HUMBOLDT,5110,2782,1271,46,150,8,34,223,235,22,37,2,10,234,56
77,IRVINGTON COMMUNITY ASSOCIATION,8501,6994,569,31,247,8,19,242,221,4,18,3,3,86,56
93,KENTON,7272,4605,861,81,304,135,10,398,291,33,20,10,0,380,144
23,KERNS,5340,4485,127,44,134,11,13,177,205,5,13,3,0,83,40
12,KING,6149,3447,1559,32,119,18,26,287,255,35,20,2,1,264,84
22,LAURELHURST,4633,4141,46,21,142,1,9,117,101,0,3,0,2,29,21
67,LENTS,20465,12328,914,205,2908,131,36,743,1080,53,63,17,2,1715,270
53,LINNTON,941,852,6,9,25,1,0,14,22,0,0,3,0,5,4
83,LLOYD DISTRICT COMMUNITY ASSOCIATION,1142,913,89,11,48,5,2,27,22,0,4,1,0,15,5
72,MADISON SOUTH,7130,4553,603,89,872,43,12,362,216,28,19,5,2,247,79
41,MAPLEWOOD,2557,2266,16,10,70,5,4,85,58,0,1,0,0,24,18
46,MARKHAM,2248,1938,36,6,95,3,12,74,45,2,1,1,0,16,19
47,MARSHALL PARK,1248,1153,2,1,22,0,3,36,20,0,1,0,0,8,2
45,MC UNCLAIMED #11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,MC UNCLAIMED #13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,MC UNCLAIMED #14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MC UNCLAIMED #5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,MILL PARK,8650,5316,577,73,915,41,34,321,592,18,23,13,2,642,83
21,MONTAVILLA,16287,10891,868,164,2071,120,40,691,589,24,57,10,2,590,170
38,MT. SCOTT-ARLETA,7397,5592,121,66,659,12,7,265,263,15,24,5,0,285,83
29,MT. TABOR,10162,8685,135,36,544,15,16,320,225,5,13,1,0,109,58
42,MULTNOMAH,7409,6150,196,44,228,44,9,291,287,8,9,1,4,90,48
24,NORTH TABOR,5163,4004,290,48,245,6,17,221,148,7,13,2,0,126,36
91,NORTHWEST DISTRICT ASSOCIATION,13399,11347,223,81,582,21,23,418,371,11,17,11,3,190,101
14,NORTHWEST HEIGHTS,4806,3575,73,7,790,1,22,198,111,4,0,1,1,13,10
25,OLD TOWN COMMUNITY ASSOCIATION,3922,2814,437,93,94,12,10,165,159,10,16,1,5,67,39
7,OVERLOOK,6093,4715,356,42,223,45,7,256,228,7,15,5,2,129,63
9,PARKROSE,6363,3551,759,69,598,109,5,253,321,51,20,9,1,533,84
16,PARKROSE HEIGHTS ASSOCIATION OF NEIGHBORS,6119,4213,361,53,644,46,6,200,234,14,20,2,6,272,48
19,PEARL DISTRICT,5997,4942,138,34,448,10,7,182,149,5,2,7,0,50,23
3,PIEDMONT,7025,4295,1372,48,189,39,20,319,257,33,15,6,1,313,118
64,PLEASANT VALLEY,12743,8739,468,65,1842,48,28,416,521,24,23,6,2,437,124
28,PORTLAND DOWNTOWN,12801,9553,571,144,1254,32,31,469,407,43,19,7,4,185,82
95,PORTSMOUTH,9789,4581,1815,134,370,143,17,489,731,29,67,9,14,1192,198
66,POWELLHURST-GILBERT,30639,17731,2044,272,4288,337,62,1155,1555,84,126,20,15,2562,388
63,REED,4399,3529,118,34,289,6,11,173,143,5,4,3,0,52,32
88,RICHMOND,11607,9735,153,55,671,17,26,411,311,2,8,8,0,132,78
15,ROSE CITY PARK,8982,7592,168,48,560,14,10,239,203,9,4,2,0,79,54
73,ROSEWAY,6323,4959,233,30,491,17,20,201,183,23,16,3,1,98,48
17,RUSSELL,3175,2341,163,13,320,17,2,112,91,3,25,7,0,52,29
78,SABIN COMMUNITY ASSOCIATION,4149,3125,547,19,115,1,13,142,105,4,4,0,1,53,20
39,SELLWOOD-MORELAND IMPROVEMENT LEAGUE*,11621,10137,101,81,337,18,27,396,332,7,12,1,0,110,62
